_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time:confidence,after,before,bodytext,can_the_verb_span_stylecolorblueverb_span_be_anchored_in_time_gold,docid,eventid,verb
1671461276,true,golden,80,"",no_its_negation,0.6239,Yigal Amir 's plan to kill Rabin .,"Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to","<p>JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death . </p><p>Margalit Har-Shefi , 22 , has pleaded innocent to charges that she failed to <span style='color:red;'><strong>report </strong></span>Yigal Amir 's plan to kill Rabin . </p>",no_its_negation,APW19980227.0487,9,report
1671461277,true,golden,71,"",yes_its_anchorable,0.4738,", '' said four-star Gen. John Dailey , assistant commandant of the U.S. Marine Corps .",`` We do n't just,"<p>In the largest U.S. military operation since Vietnam , an estimated 20,000 American GIs have already massed to defend Saudi Arabia . </p><p>`` We do n't just <span style='color:red;'><strong>arrive </strong></span>, '' said four-star Gen. John Dailey , assistant commandant of the U.S. Marine Corps . </p>",yes_its_anchorable,AP900816-0139,85,arrive
1671461278,true,golden,87,"",yes_its_anchorable,1.0,a successful coup d'etat against First Prime Minister Prince Norodom Ranariddh .,"In July last year in Phnom Penh , Cambodia 's capital , Second Prime Minister Hun Sen","<p>But in June last year , the remaining leadership had a falling out , and Pol Pot was arrested . </p><p>In July last year in Phnom Penh , Cambodia 's capital , Second Prime Minister Hun Sen <span style='color:red;'><strong>staged </strong></span>a successful coup d'etat against First Prime Minister Prince Norodom Ranariddh . </p>",yes_its_anchorable,APW19980219.0476,71,staged
1671461279,true,golden,77,"",yes_its_anchorable,1.0,"public support for a republic increasing , rising from about 35 percent several years ago to about 51 percent this year , as pro-monarchist sentiment diminishes .",Polls have,"<p>`` The idea of a republic will fall to dust through the grace of almighty God . '' </p><p>Polls have <span style='color:red;'><strong>shown </strong></span>public support for a republic increasing , rising from about 35 percent several years ago to about 51 percent this year , as pro-monarchist sentiment diminishes . </p>",yes_its_anchorable,APW19980213.1310,44,shown
1671461280,false,golden,14,4/7/2018 13:40:42,yes_its_anchorable,0.7108,.,"By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been confirmed from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been","<p>They were too afraid to stay , fearing the forces may also move their operations further afield . </p><p>By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been confirmed from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been <span style='color:red;'><strong>planned </strong></span>. </p>",yes_its_anchorable,PRI19980306.2000.1675,15,planned
1671461281,true,golden,70,"",yes_its_anchorable,0.9658,"two fireballs go down to the , to the water , and there was a big small , ah , smoke , from ah , coming up from that .","It - It just blew up in the air , and then we","<p>Ah yes , sir . </p><p>It - It just blew up in the air , and then we <span style='color:red;'><strong>saw </strong></span>two fireballs go down to the , to the water , and there was a big small , ah , smoke , from ah , coming up from that . </p>",yes_its_anchorable,ABC19980114.1830.0611,17,saw
1671461282,true,golden,80,"",yes_its_anchorable,1.0,in state court of helping to defraud thousands of investors who bought high risk junk bonds sold by Keating 's employees at Lincoln savings and loan .,In nineteen ninety-one Charles Keating was,<p>NPR 's Elaine Corey has more from San Francisco . </p><p>In nineteen ninety-one Charles Keating was <span style='color:red;'><strong>convicted </strong></span>in state court of helping to defraud thousands of investors who bought high risk junk bonds sold by Keating 's employees at Lincoln savings and loan . </p>,yes_its_anchorable,PRI19980115.2000.0186,4,convicted
1671461283,true,golden,82,"",yes_its_anchorable,0.9623,"the family of Howes , 37 years old when he was kidnapped , that he probably died within weeks or months of his capture on March 26 , 1996 .",The Foreign Office said it had,"<p>In January this year , British police officers who had been searching for Howes concluded he had probably been killed soon after being captured . </p><p>The Foreign Office said it had <span style='color:red;'><strong>informed </strong></span>the family of Howes , 37 years old when he was kidnapped , that he probably died within weeks or months of his capture on March 26 , 1996 . </p>",yes_its_anchorable,APW19980219.0476,20,informed
1671461284,true,golden,76,"",no_its_intentionwishopinion,0.7561,them from unspecified threats ; British Foreign Office minister William Waldegrave called the order `` grave and sinister . '',Iraq said the roundup was to,"<p>`` Very few '' of the 2,500 Americans in occupied Kuwait complied with the order , a senior U.S. official told The Associated Press . </p><p>Iraq said the roundup was to <span style='color:red;'><strong>protect </strong></span>them from unspecified threats ; British Foreign Office minister William Waldegrave called the order `` grave and sinister . '' </p>",no_its_intentionwishopinion,AP900816-0139,43,protect
1671461285,true,golden,78,"",no_its_intentionwishopinion,0.8943,a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad .,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to,<p>Saddam said he sought to `` turn the gulf into a lake of peace free of foreign fleets and forces that harbor ill intentions against us . '' </p><p>In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to <span style='color:red;'><strong>order </strong></span>a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad . </p>,no_its_intentionwishopinion,AP900815-0044,63,order
1671461286,true,golden,81,"",yes_its_anchorable,0.9292,they 'll monitor the shifting ground .,"No one was hurt , but firefighters ordered the evacuation of nearby homes and","<p>In Los Angeles that lesson was brought home today when tons of earth cascaded down a hillside , ripping two houses from their foundations . </p><p>No one was hurt , but firefighters ordered the evacuation of nearby homes and <span style='color:red;'><strong>said </strong></span>they 'll monitor the shifting ground . </p>",yes_its_anchorable,PRI19980213.2000.0313,16,said
1671461287,true,golden,73,"",yes_its_anchorable,0.9569,for Rudolph in the wilderness of western north Carolina .,"An intense manhunt conducted by the FBI and the bureau of alcohol , tobacco and firearms","<p>Army of god letters claim responsibility for the Atlanta abortion clinic bombing , a nineteen ninety-seven attack on a gay lounge and the Birmingham assault . </p><p>An intense manhunt conducted by the FBI and the bureau of alcohol , tobacco and firearms <span style='color:red;'><strong>continues </strong></span>for Rudolph in the wilderness of western north Carolina . </p>",yes_its_anchorable,CNN19980227.2130.0067,35,continues
1671461288,true,golden,67,"",no_its_intentionwishopinion,0.591,to discuss an Iraqi withdrawal from Kuwait .,A CBS News report citing unidentified Jordanian sources said that Saddam 's message called for an international conference to be,"<p>In an interview from Jordan on ABC , he declined to discuss details , but said : `` I do n't think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future . '' </p><p>A CBS News report citing unidentified Jordanian sources said that Saddam 's message called for an international conference to be <span style='color:red;'><strong>convened </strong></span>to discuss an Iraqi withdrawal from Kuwait . </p>",no_its_intentionwishopinion,AP900815-0044,149,convened
1671461289,true,golden,71,"",no_its_negation,0.8546,he was serious .,Har-Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not,"<p>She said Rabin 's murder was `` a black stain on Israel , '' Israel radio and Israel army radio reported . </p><p>Har-Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not <span style='color:red;'><strong>believe </strong></span>he was serious . </p>",no_its_negation,APW19980227.0487,34,believe
1671461290,true,golden,75,"",yes_its_anchorable,0.9654,out in nineteen ninety-six on a technicality .,Keating 's convictions were,<p>The bonds became worthless when the bankrupt thrift was seized by government regulators . </p><p>Keating 's convictions were <span style='color:red;'><strong>thrown </strong></span>out in nineteen ninety-six on a technicality . </p>,yes_its_anchorable,PRI19980115.2000.0186,12,thrown
1671461291,true,golden,79,"",no_its_intentionwishopinion,0.9217,offset Jordan 's costs because 40 percent of its exports go to Iraq and 90 percent of its oil comes from there .,The president also has offered to,<p>Bush has indicated the U.S. Navy will barricade the port from Iraqi ships . </p><p>The president also has offered to <span style='color:red;'><strong>help </strong></span>offset Jordan 's costs because 40 percent of its exports go to Iraq and 90 percent of its oil comes from there . </p>,no_its_intentionwishopinion,AP900816-0139,137,help
1671461292,true,golden,71,"",yes_its_anchorable,1.0,the shake up .,The company 's sales force,<p>Earlier AT and T also announced an eighteen percent drop in profits for the fourth quarter . </p><p>The company 's sales force <span style='color:red;'><strong>applauded </strong></span>the shake up . </p>,yes_its_anchorable,CNN19980126.1600.1104,6,applauded
1671461293,true,golden,74,"",no_its_intentionwishopinion,0.4792,the truth .,"`` Once again , I never asked anybody to do anything but","<p>Clinton on Friday . </p><p>`` Once again , I never asked anybody to do anything but <span style='color:red;'><strong>tell </strong></span>the truth . </p>",no_its_intentionwishopinion,NYT19980206.0466,23,tell
1671461294,true,golden,75,"",yes_its_anchorable,0.9261,", `` We need the smell of eucalyptus in this , and the feel of red dust . ''","Calling for an amended constitution with a new preamble , to be written by Australian poets , republican Janet Holmes a Court","<p>Pro-republicans hope to have an Australian president by the opening of the 2000 Olympics and the 100th anniversary of Australian federation . </p><p>Calling for an amended constitution with a new preamble , to be written by Australian poets , republican Janet Holmes a Court <span style='color:red;'><strong>said </strong></span>, `` We need the smell of eucalyptus in this , and the feel of red dust . '' </p>",yes_its_anchorable,APW19980213.1310,30,said
1671461295,true,golden,82,"",yes_its_anchorable,0.9631,under a state of emergency .,Yesterday New York governor George Pataki toured five counties that have been,<p>A powerful ice storm continues to maintain its grip . </p><p>Yesterday New York governor George Pataki toured five counties that have been <span style='color:red;'><strong>declared </strong></span>under a state of emergency . </p>,yes_its_anchorable,ed980111.1130.0089,8,declared
